DateTime,rain,temp_min,temp_max
1972-01-01,0,16.16,27.92
1972-01-02,0,15.08,27.79
1972-01-03,0,13.68,28.73
1972-01-04,0,14.15,28.92
1972-01-05,0,13.68,28.44
1972-01-06,0,12.87,27.81
1972-01-07,0,13.09,28.23
1972-01-08,0,12.97,28.05
1972-01-09,0,13.33,28.11
1972-01-10,0,13.67,27.65
1972-01-11,0,12.4,28.14
1972-01-12,0,11.8,28.61
1972-01-13,0,12.84,28.34
1972-01-14,0,13.28,27.63
1972-01-15,0,13.4,27.41
1972-01-16,0,14.07,27.66
1972-01-17,0,12.93,27.54
1972-01-18,0,15.85,27.37
1972-01-19,0,16.66,26.35
1972-01-20,0.1076,16.98,24.55
1972-01-21,0,14.82,25.28
1972-01-22,0,15.1,27.63
1972-01-23,0,14.61,28.33
1972-01-24,0,12.88,27.64
1972-01-25,0,12.88,27.56
1972-01-26,0,13.77,27.57
1972-01-27,0,13.52,28.56
1972-01-28,0,13.22,28.96
1972-01-29,0,15.33,29.95
1972-01-30,0,14.53,29.99
1972-01-31,0,15.43,30.25
1972-02-01,0,15.57,29.5
1972-02-02,0,14.94,30.31
1972-02-03,0,14.75,30.8
1972-02-04,0,14.89,31.08
1972-02-05,0,16.35,32.4
1972-02-06,0,16.79,31.28
1972-02-07,0,17.95,32.2
1972-02-08,0,18.25,30.94
1972-02-09,0,18.13,31.18
1972-02-10,0,18.62,30.82
1972-02-11,0,18.11,30.81
1972-02-12,0,17.87,30.33
1972-02-13,0,17.86,30.49
1972-02-14,0,18.26,30.64
1972-02-15,0,16.16,31.17
1972-02-16,0,15.7,30.67
1972-02-17,0,17.7,31.16
1972-02-18,0,18.28,30.94
1972-02-19,0,18.22,31.06
1972-02-20,0,17.62,30.09
1972-02-21,0,17.95,29.99
1972-02-22,0,17.11,30.55
1972-02-23,0,16.25,31.25
1972-02-24,0,16.41,32.04
1972-02-25,0,17.17,32.29
1972-02-26,0,17.49,32.06
1972-02-27,0,18.05,32.7
1972-02-28,0,17.47,32.11
1972-02-29,0,17.02,32.28
1972-03-01,0,16.48,32.36
1972-03-02,0,15.87,32.71
1972-03-03,0,15.57,31.76
1972-03-04,0,14.84,31.71
1972-03-05,0,15.42,31.14
1972-03-06,0,15.13,31.54
1972-03-07,0,15.99,32.33
1972-03-08,0,17.08,33.26
